Date of Observation;Value-Weighted Return-incl. dividends;Value-Weighted Return-excl. dividends;Equal-Weighted Return-incl. dividends;Equal-Weighted Return-excl. dividends;Return on the S&P 500 Index;Level of the S&P 500 Index;Total Market Value;Total Market Count;Market Value of Securities Used;Count of Securities Used
2010/1/4;0.01712741;0.01705106;0.01912033;0.01907703;0.0160434;1132.99;16089218600;6556;15815579100;6554
2010/1/5;0.003374191;0.00336856;0.002475204;0.002451024;0.00311565;1136.52;16143308200;6556;16089218600;6555
2010/1/6;0.002046257;0.001762657;0.003210449;0.003179921;0.000545525;1137.14;16171341200;6553;16143230900;6553
2010/1/7;0.00286067;0.002823321;0.006886783;0.006833949;0.004001266;1141.69;16216729900;6551;16171085400;6550
2010/1/8;0.00417385;0.004173508;0.00723006;0.00722368;0.002881693;1144.98;16285963600;6559;16216722300;6550
2010/1/11;0.001141429;0.001140493;0.003567607;0.003547317;0.001746755;1146.98;16308452300;6559;16285962800;6558
2010/1/12;-0.01099886;-0.01100896;-0.01017019;-0.01022389;-0.009381157;1136.22;16129315000;6558;16308451500;6558
2010/1/13;0.008639272;0.008535221;0.008889687;0.008647989;0.008325852;1145.68;16267010300;6559;16129315000;6558
2010/1/14;0.002306847;0.002283289;0.004431483;0.004397745;0.002426506;1148.46;16304398300;6559;16266793300;6556
2010/1/15;-0.01132842;-0.01135415;-0.008664108;-0.008674914;-0.01082319;1136.03;16119517600;6559;16304275200;6558
2010/1/19;0.0120603;0.01205691;0.01128644;0.01127382;0.01249967;1150.23;16313154600;6559;16119249500;6558
2010/1/20;-0.01107891;-0.01118629;-0.009048212;-0.009149704;-0.01059788;1138.04;16129149500;6558;16310861100;6557
2010/1/21;-0.01777833;-0.01780193;-0.01419128;-0.01421662;-0.01894485;1116.48;15841910800;6560;16129145800;6557
2010/1/22;-0.02100698;-0.02104784;-0.01443152;-0.01443888;-0.02214102;1091.76;15511461200;6569;15841907500;6559
2010/1/25;0.00390262;0.003892553;0.000974738;0.000965901;0.00459808;1096.78;15570136600;6570;15510326200;6568
2010/1/26;-0.004923824;-0.004935986;-0.006015891;-0.006019333;-0.004203213;1092.17;15493530600;6569;15570133400;6568
2010/1/27;0.004187573;0.004082432;0.001880473;0.001787049;0.004880193;1097.5;15548640200;6566;15485387400;6564
2010/1/28;-0.01133615;-0.01144378;-0.008875776;-0.008945047;-0.01181777;1084.53;15370961700;6565;15548522300;6564
2010/1/29;-0.01030467;-0.01032868;-0.008186632;-0.008227319;-0.009829142;1073.87;15212007500;6566;15370504400;6563
2010/2/1;0.01511578;0.01508938;0.01134883;0.01128793;0.01426616;1089.19;15443583400;6558;15211286500;6557
2010/2/2;0.01223203;0.01222321;0.008664597;0.008635195;0.01297294;1103.32;15632682800;6560;15443583400;6558
2010/2/3;-0.004983608;-0.005259946;-0.003823506;-0.00395113;-0.005474386;1097.28;15551169400;6559;15632420300;6558
2010/2/4;-0.03199236;-0.03203893;-0.02812833;-0.02818365;-0.03114064;1063.11;15052285000;6557;15551105600;6557
2010/2/5;0.002652813;0.002642595;0.000458449;0.000433545;0.00289716;1066.19;15092278500;6557;15052285000;6557
2010/2/8;-0.008237972;-0.00845565;-0.005335484;-0.005379204;-0.008863335;1056.74;14960345600;6553;15086754900;6553
2010/2/9;0.01388534;0.01385202;0.01190516;0.01183288;0.0130401;1070.52;15168526300;6552;14960305100;6551
2010/2/10;-0.001475743;-0.001751599;1.85631E-05;-0.000330545;-0.00223256;1068.13;15144305600;6559;15168526300;6552
2010/2/11;0.01208981;0.01198261;0.01279792;0.01271953;0.00968047;1078.47;15327638400;6570;15144246200;6558
2010/2/12;-0.000652629;-0.000789228;0.003119036;0.003091544;-0.002744629;1075.51;15315513900;6570;15327638400;6570
2010/2/16;0.01798419;0.01787692;0.01444643;0.01441449;0.01800076;1094.87;15554825800;6569;15281068800;6568
2010/2/17;0.004661224;0.004484887;0.005052165;0.004902582;0.004237946;1099.51;15624613100;6570;15554777800;6568
2010/2/18;0.006194277;0.006117593;0.00438056;0.004324384;0.006584751;1106.75;15720930600;6569;15624601300;6566
2010/2/19;0.002460014;0.0023395;0.001958175;0.001937109;0.002186582;1109.17;15758135100;6568;15720168100;6567
2010/2/22;-0.001114135;-0.001152797;0.001987851;0.001978375;-0.001045827;1108.01;15739296800;6565;15757753200;6565
2010/2/23;-0.01309003;-0.01310052;-0.008433023;-0.008449676;-0.01210278;1094.6;15532525300;6563;15738690600;6563
2010/2/24;0.008536382;0.008386736;0.005357124;0.005264086;0.009720446;1105.24;15663399000;6566;15532525300;6563
2010/2/25;-0.000709339;-0.00090613;-0.000973686;-0.001062457;-0.002080996;1102.94;15649463100;6566;15663310400;6564
2010/2/26;0.001843248;0.001807297;0.001599733;0.001587447;0.001405335;1104.49;15712601200;6564;15645405100;6563
2010/3/1;0.01199047;0.01195089;0.0129526;0.01290038;0.01015854;1115.71;15888218200;6562;15700288800;6561
2010/3/2;0.004424373;0.004418002;0.007848063;0.007817936;0.002330355;1118.31;15958846800;6560;15888204100;6560
2010/3/3;0.001605128;0.001473633;0.002860506;0.002778018;0.000429219;1118.79;15982550100;6559;15958820000;6559
2010/3/4;0.00310053;0.00305601;0.00464514;0.004597949;0.003736179;1122.97;16031706200;6559;15982518900;6557
2010/3/5;0.01451181;0.01447706;0.01518495;0.01516104;0.0140075;1138.7;16274479300;6560;16031706200;6559
2010/3/8;0.000714368;0.000572093;0.003795468;0.00373256;-0.000175639;1138.5;16284566400;6556;16274401700;6555
2010/3/9;0.001653028;0.001592141;0.002517943;0.002425222;0.00171278;1140.45;16310533500;6560;16284566400;6556
2010/3/10;0.005049642;0.004923644;0.006226002;0.006165846;0.00452453;1145.61;16391014100;6559;16307618000;6558
2010/3/11;0.003968843;0.003628705;0.003264121;0.00281649;0.004041515;1150.24;16451374100;6566;16389239800;6558
2010/3/12;0.000759513;0.000747073;0.000602845;0.000583878;-0.000217346;1149.99;16464349000;6569;16451299900;6565
2010/3/15;-0.000685051;-0.000715538;-0.00317242;-0.003222157;0.000452178;1150.51;16451088000;6563;16456907700;6563
2010/3/16;0.008747105;0.008731303;0.00717137;0.007143199;0.007779159;1159.46;16595976500;6563;16450879500;6561
2010/3/17;0.00561443;0.005591892;0.004724603;0.004618969;0.005821676;1166.21;16689573000;6563;16595976500;6563
2010/3/18;-0.002034121;-0.002051624;-0.002672297;-0.002719901;-0.000325842;1165.83;16656006800;6566;16689498200;6562
2010/3/19;-0.00691305;-0.006950173;-0.007940398;-0.008016473;-0.005086505;1159.9;16538532500;6565;16655916700;6564
2010/3/22;0.005864036;0.005834557;0.00628811;0.006226972;0.005095267;1165.81;16636296300;6566;16538532500;6565
2010/3/23;0.007667287;0.007583896;0.008460181;0.00839034;0.00717098;1174.17;16763107300;6567;16636178400;6565
2010/3/24;-0.006621898;-0.00664676;-0.005153395;-0.00520952;-0.005493242;1167.72;16653491800;6570;16763107300;6567
2010/3/25;-0.002436412;-0.002494229;-0.003448427;-0.00356336;-0.001704176;1165.73;16611931300;6556;16653305500;6556
2010/3/26;0.000677797;0.000669433;0.000870504;0.000841487;0.000737735;1166.59;16623113300;6555;16611920900;6554
2010/3/29;0.006799407;0.006605222;0.005714761;0.005470603;0.005683231;1173.22;16733125100;6555;16622919900;6553
2010/3/30;0.00045772;0.000343095;0.001625199;0.001550354;4.26178E-05;1173.27;16740702000;6554;16733115600;6554
2010/3/31;-0.002767314;-0.002804089;-0.002948366;-0.00298553;-0.003272904;1169.43;16756948100;6557;16740702000;6554
2010/4/1;0.008643225;0.008527224;0.006962158;0.00687007;0.007413868;1178.1;16901162400;6556;16756923600;6555
2010/4/5;0.009551921;0.00952627;0.01314267;0.01311709;0.007928019;1187.44;17061922800;6554;16899815600;6553
2010/4/6;0.002120994;0.002117898;0.005218254;0.00520823;0.001684296;1189.44;17098197000;6556;17061545300;6553
2010/4/7;-0.005370058;-0.005656524;-0.000948549;-0.00099678;-0.005876715;1182.45;17001510900;6566;17098197000;6556
